ID,Quantity,Description,Name,Already have?,3D printed,Price,Purchase Link
,1,+ACI-I already have a V2, so I just need the upgrade kit+ACI-,LDO Orbiter v2.5 upgrade kit,,,22.99,https://west3d.com/products/ldo+AC0-orbiter+AC0-extruder+AC0-v2+AC0-5+AC0-orbiter+AC0-v2+AC0-5+AC0-and+AC0-v2+AC0-0+AC0-to+AC0-v2+AC0-5+AC0-upgrade+AC0-kit?variant+AD0-45833094627540
,1,,Rapido ACE HF,,,79.99,https://west3d.com/products/trianglelab+AC0-rapido+AC0-ace+AC0-hotend+AC0-hot+AC0-end+AC0-hf+AC0-uhf+AC0-with+AC0-104nt+AC0-or+AC0-pt1000+AC0-thermistor?variant+AD0-45545880977620
,1,,3010 Fan,,,6.49,https://west3d.com/products/gdstime+AC0-dc+AC0-24v+AC0-30x30x10+AC0-axial+AC0-fan+AC0-24v+AC0-gda30105f+AC0-dual+AC0-ball+AC0-bearing+AC0-1200rpm+AC0-1w+AC0-06a+AC0-xh2+AC0-54?+AF8-pos+AD0-3+ACYAXw-sid+AD0-c0dc7587c+ACYAXw-ss+AD0-r
,3,Part number EMLB+AC0-S1+AC0-M5,m5 cap nut,,,0.05,https://jlcmc.com/product/s/E04/EMLB/cap+AC0-and+AC0-flange+AC0-nuts
,1,+ACI-West3D, I will buy on my own+ACI-,ASA Orange Filament,,,22.99,https://west3d.com/products/ambrosia+AC0-asa+AC0-filament+AC0-of+AC0-the+AC0-gods+AC0-1kg+AC0-bambu+AC0-friendly+AC0-cardboard+AC0-spools+AC0-premium+AC0-3d+AC0-printing+AC0-filament?variant+AD0-44425275637972
,24,for all the frame stiffeners,M3 roll in t+AC0-nut,,,,
,24,for all the frame stiffeners,m3x8mm screws,,,,
,10,6x3 round magnets,,,,5,
,6,reed switches,,,,5,
,,,+ACI-TOTAL COST NEW PARTS USD SUMIF(E+ACQ-1:INDIRECT(ADDRESS(ROW() +AC0- 1,COLUMN(),1)),+ACIAIgA9ACIAIg-,G+ACQ-1:INDIRECT(ADDRESS(ROW() +AC0- 1,COLUMN(),1)))+ACI-,, ,330.2,
,,,+ACI-TOTAL PRINTER COST USD SUM(G+ACQ-1:INDIRECT(ADDRESS(ROW() +AC0- 2,COLUMN(),1)))+ACI-,,,543.58,
